#R in kpc. All other columns in km/s.
#Milky Way Model (McGaugh 2016, ApJ, 816, 42) adjusted to R0=8.122 kpc
#R         Vbulge     Vgas	    Vdisk	   Vdmhalo         Vtot         Vtotcorona
24.36600  47.65199    53.72075     95.333130	  170.8349  	  208.3977  	  209.3138  
26.39650  45.78256    51.25845     91.241961	  171.9629  	  206.4456  	  207.4640  
28.42700  44.11718    48.91385     87.664184	  172.8827  	  204.7250  	  205.8497  
30.45750  42.62124    46.74847     84.500519	  173.6537  	  203.2189  	  204.4537  
35.53375  39.45961    41.98885     77.927926	  175.0831  	  200.1174  	  201.6432  
40.61000  36.91107    38.34266     72.719238	  176.1478  	  197.8603  	  199.6953  
50.76250  33.01428    33.13939     64.863876	  177.6485  	  194.8191  	  197.3201  
60.91500  30.13777    29.82043     59.126863	  178.7788  	  193.0166  	  196.2342  
71.06750  27.90215    27.39249     54.693832	  179.6259  	  191.7961  	  195.7774  
81.22000  26.10007    25.49918     51.133114	  180.2792  	  190.9100  	  195.6972  
91.37250  24.60739    23.96338     48.190588	  180.7974  	  190.2362  	  195.8672  
101.5250  23.34462    22.68225     45.705323	  181.2181  	  189.7061  	  196.2147  
121.8300  21.31062    20.64645     41.708511	  181.8591  	  188.9252  	  197.2765  
152.2875  19.06080    18.42426     37.294620	  182.5118  	  188.1601  	  199.4515  
