#      R               VQ1     
       4.732391        231.1387  
       4.739877        231.3537  
       4.747356        231.4186  
       4.754829        231.0833  
       4.762296        231.2978  
       4.769642        232.3289  
       4.777097        232.5430  
       4.784546        232.0670  
       4.791989        231.4509  
       4.799425        230.7045  
       4.806855        230.8380  
       4.814280        230.8813  
       4.821697        230.6144  
       4.829109        230.8273  
       4.836514        231.1301  
       4.844028        231.6059  
       4.851420        231.9483  
       4.858807        232.1605  
       4.866188        231.8225  
       4.873561        232.0344  
       4.880929        233.5061  
       4.888291        233.7876  
       4.895646        233.9989  
       4.902995        234.2100  
       4.910225        234.4577  
       4.917675        235.2517  
       4.925004        235.4723  
       4.932328        235.7127  
       4.939645        235.9229  
       4.946957        236.0230  
       4.954149        236.2296  
       4.961447        236.9193  
       4.968739        237.1288  
       4.976025        237.2281  
       4.983304        237.1072  
       4.990576        236.2861  
       4.997843        236.4949  
       5.005103        237.1835  
       5.012468        237.3951  
       5.019603        237.1601  
       5.026955        237.3713  
       5.034189        237.5991  
       5.041417        237.8067  
       5.048637        237.3942  
       5.055852        237.6015  
       5.062949        237.8154  
       5.070261        238.0255  
       5.077456        237.5122  
       5.084645        237.2987  
       5.091716        236.6818  
       5.099002        235.8412  
       5.106171        236.0471  
       5.113333        236.2529  
       5.120489        236.4285  
       5.127637        236.6538  
       5.134670        236.8559  
       5.141806        237.0609  
       5.148935        237.4557  
       5.156058        237.3603  
       5.163174        237.5648  
       5.170283        237.2590  
       5.177386        236.5531  
       5.184482        235.9869  
       5.191681        235.2337  
       5.198654        235.0141  
       5.205839        234.7005  
       5.212908        234.6436  
       5.219971        234.2365  
       5.227027        233.7092  
       5.234076        233.7017  
       5.241118        232.5141  
       5.248154        232.7162  
       5.255183        234.0381  
       5.262205        234.2399  
       5.269112        233.2783  
       5.276228        233.4128  
       5.283230        233.4939  
       5.290225        233.6949  
       5.297213        233.8956  
       5.304194        233.3562  
       5.311062        233.2535  
       5.318029        232.7737  
       5.324990        232.9337  
       5.331944        232.3034  
       5.338892        231.3530  
       5.345832        231.2824  
       5.352765        231.0616  
       5.359692        230.7406  
       5.366718        230.8025  
       5.373524        231.1380  
       5.380536        230.5894  
       5.387435        230.6877  
       5.394327        230.3356  
       5.401212        230.5334  
       5.408090        231.2211  
       5.414855        231.4154  
       5.421825        231.5956  
       5.428682        231.7926  
       5.435532        231.7994  
       5.442270        231.5430  
       5.449211        231.5624  
       5.456040        231.7586  
       5.462862        232.8546  
       5.469677        233.0504  
       5.476485        233.0460  
       5.483181        233.2384  
       5.489975        233.4336  
       5.496762        233.7686  
       5.503542        234.7933  
       5.510315        235.5679  
       5.517080        235.7623  
       5.523943        235.5194  
       5.530591        235.7104  
       5.537438        236.4772  
       5.544072        236.6677  
       5.550905        236.1741  
       5.557628        235.4672  
       5.564344        235.6601  
       5.571053        236.1529  
       5.577754        236.3454  
       5.584448        236.5377  
       5.591135        236.2198  
       5.597815        235.7617  
       5.604487        235.8034  
       5.611050        235.9920  
       5.617708        235.6432  
       5.624359        235.2543  
       5.631003        235.3752  
       5.637640        235.5659  
       5.644269        235.0663  
       5.650891        234.5666  
       5.657506        233.8466  
       5.664113        234.0364  
       5.670713        234.2261  
       5.677306        234.4455  
       5.683891        234.6347  
       5.690571        234.8266  
       5.697041        234.3724  
       5.703705        234.5639  
       5.710160        234.8094  
       5.716810        235.4504  
       5.723351        235.6383  
       5.729886        235.7960  
       5.736412        235.9836  
       5.742931        236.3508  
       5.749343        236.5350  
       5.755948        236.6148  
       5.762445        236.4715  
       5.768935        236.6579  
       5.775317        236.8413  
       5.781792        236.9773  
       5.788260        237.0831  
       5.794720        236.9487  
       5.801172        237.3341  
       5.807617        237.5192  
       5.814055        238.3842  
       5.820485        238.7389  
       5.826908        239.0334  
       5.833323        239.1077  
       5.839731        239.2118  
       5.846131        239.3957  
       5.852622        239.6922  
       5.858908        239.8728  
       5.865384        239.8988  
       5.871656        240.0790  
       5.878116        240.1846  
       5.884471        240.3672  
       5.890818        240.4095  
       5.897158        240.3717  
       5.903490        240.3736  
       5.909814        239.6353  
       5.916131        239.7468  
       5.922343        239.3952  
       5.928742        239.5791  
       5.934939        240.1771  
       5.941226        240.3877  
       5.947504        240.5681  
       5.953775        240.5983  
       5.960039        240.7782  
       5.966295        241.2079  
       5.972543        241.5574  
       5.978783        241.7367  
       5.985016        241.9158  
       5.991241        241.7046  
       5.997554        241.2660  
       6.003668        241.4416  
       6.009965        242.3026  
       6.016064        242.9778  
       6.022345        243.1582  
       6.028429        243.3330  
       6.034695        243.5130  
       6.040857        243.5201  
       6.047013        243.0969  
       6.053160        243.2735  
       6.059300        243.7799  
       6.065338        243.9534  
       6.071556        243.7020  
       6.077578        243.0150  
       6.083780        243.1832  
       6.089787        243.3558  
       6.095880        243.5608  
       6.101965        244.2057  
       6.108042        244.5802  
       6.114111        245.7646  
       6.120173        246.0388  
       6.126226        246.9427  
       6.132272        247.1164  
       6.138310        247.5198  
       6.144340        247.6931  
       6.150455        247.8687  
       6.156376        245.5188  
       6.162474        245.2141  
       6.168380        245.2237  
       6.174463        245.3985  
       6.180353        244.2977  
       6.186419        245.9120  
       6.192385        246.0834  
       6.198344        247.0945  
       6.204294        247.4155  
       6.210236        247.5862  
       6.216171        247.7567  
       6.222097        248.5070  
       6.227924        248.7344  
       6.233926        248.9868  
       6.239737        249.2038  
       6.245632        249.3731  
       6.251518        249.4522  
       6.257396        249.6211  
       6.263267        248.3297  
       6.269129        248.0282  
       6.274983        247.9263  
       6.280829        248.0943  
       6.286667        248.2620  
       6.292497        249.9295  
       6.298408        250.1193  
       6.304132        250.2638  
       6.310027        249.7531  
       6.315735        249.5071  
       6.321614        249.6760  
       6.327306        249.8495  
       6.333168        250.6780  
       6.338933        250.8436  
       6.344689        250.7390  
       6.350349        250.1116  
       6.356178        250.2790  
       6.361822        250.1312  
       6.367633        250.2681  
       6.373261        250.3698  
       6.379057        250.5363  
       6.384668        250.7876  
       6.390359        251.0110  
       6.396042        251.1743  
       6.401717        251.3873  
       6.407384        251.5501  
       6.413129        251.7152  
       6.418692        252.2050  
       6.424334        252.8671  
       6.430054        253.0314  
       6.435593        252.6906  
       6.441296        251.9744  
       6.446818        251.7431  
       6.452505        251.8064  
       6.458010        250.8046  
       6.463680        250.8075  
       6.469170        250.6452  
       6.474822        250.4376  
       6.480381        250.3373  
       6.485931        250.4967  
       6.491388        250.5035  
       6.497006        249.5949  
       6.502447        249.7512  
       6.508049        250.3622  
       6.513472        250.5180  
       6.519057        249.9084  
       6.524464        249.5038  
       6.529948        248.9113  
       6.535423        248.8686  
       6.540889        249.0257  
       6.546348        249.1825  
       6.551881        249.3415  
       6.557239        249.4754  
       6.562671        249.6315  
       6.568179        249.7897  
       6.573512        249.5329  
       6.579002        248.8306  
       6.584319        247.7234  
       6.589792        244.9906  
       6.595091        243.9129  
       6.600547        243.9996  
       6.605830        243.9414  
       6.611269        241.6376  
       6.616617        239.2113  
       6.621956        238.8447  
       6.627205        237.3255  
       6.632609        237.4807  
       6.637842        238.6111  
       6.643229        238.7658  
       6.648444        238.5257  
       6.653814        238.1999  
       6.659012        238.3493  
       6.664283        238.9707  
       6.669546        240.4219  
       6.674800        240.6828  
       6.680046        241.1736  
       6.685363        241.3263  
       6.690511        241.4742  
       6.695730        241.4042  
       6.701022        241.5562  
       6.706144        241.5633  
       6.711418        241.7148  
       6.716523        241.8615  
       6.721779        242.5525  
       6.726867        242.8687  
       6.732106        243.0092  
       6.737177        243.1549  
       6.742398        242.2549  
       6.747531        242.4024  
       6.752655        242.6796  
       6.757692        242.8243  
       6.762878        242.7933  
       6.767898        242.6975  
       6.773066        242.3660  
       6.778069        242.5097  
       6.783219        242.3876  
       6.788204        241.9509  
       6.793259        241.6161  
       6.798305        241.2811  
       6.803420        241.1880  
       6.808371        241.3203  
       6.813468        240.8267  
       6.818402        240.2184  
       6.823404        240.3621  
       6.828474        240.5078  
       6.833382        240.6788  
       6.838434        240.8240  
       6.843325        240.9645  
       6.848360        240.9991  
       6.853233        241.0491  
       6.858249        241.1932  
       6.863105        241.3327  
       6.868104        241.4763  
       6.873018        241.8675  
       6.877923        242.1284  
       6.882744        242.4769  
       6.887707        242.4095  
       6.892510        242.2775  
       6.897455        242.4196  
       6.902241        243.3271  
       6.907167        243.5186  
       6.911936        243.6556  
       6.916770        243.4545  
       6.921596        243.3431  
       6.926486        243.4836  
       6.931220        243.6196  
       6.936092        243.7596  
       6.940808        243.3051  
       6.945589        243.1725  
       6.950434        243.3116  
       6.955124        243.6064  
       6.959951        243.7451  
       6.964623        243.5093  
       6.969431        243.3674  
       6.974086        243.5811  
       6.978877        243.4088  
       6.983513        243.4720  
       6.988286        243.3691  
       6.992976        242.1739  
       6.997658        242.0984  
       7.002260        241.0005  
       7.006995        240.0466  
       7.011579        240.1783  
       7.016296        240.3138  
       7.020862        240.6450  
       7.025561        241.1500  
       7.030109        241.6606  
       7.034719        241.9331  
       7.039320        242.0653  
       7.043982        242.2192  
       7.048494        242.6288  
       7.053138        242.4823  
       7.057632        242.4014  
       7.062188        242.5323  
       7.066804        242.6649  
       7.071271        243.4232  
       7.075869        243.7453  
       7.080319        243.8732  
       7.084898        242.5547  
       7.089330        242.6820  
       7.093890        243.0831  
       7.098304        243.2099  
       7.102846        243.0903  
       7.107310        242.4086  
       7.111765        242.5366  
       7.116143        242.6624  
       7.120648        242.7818  
       7.125008        242.6370  
       7.129494        242.6659  
       7.133835        242.7906  
       7.138303        243.7490  
       7.142627        243.8732  
       7.147008        243.3391  
       7.151381        241.7247  
       7.155812        241.1020  
       7.160099        241.2252  
       7.164511        241.3519  
       7.168779        241.1146  
       7.173106        241.0789  
       7.177490        240.8548  
       7.181731        240.9467  
       7.186096        241.0721  
       7.190320        241.7434  
       7.194666        242.2283  
       7.198871        242.3491  
       7.203198        244.0934  
       7.207386        244.3537  
       7.211694        244.4775  
       7.215928        244.4591  
       7.220152        242.9605  
       7.224303        242.0197  
       7.228573        242.1424  
       7.232706        242.2611  
       7.236958        242.4233  
       7.241071        242.8215  
       7.245304        242.6631  
       7.249400        241.8107  
       7.253550        241.5800  
       7.257691        241.1389  
       7.261886        240.9895  
       7.265944        241.1061  
       7.270121        242.2860  
       7.274161        242.4021  
       7.278255        242.2997  
       7.282403        242.1389  
       7.286415        241.2942  
       7.290544        240.7528  
       7.294538        240.3175  
       7.298647        239.7356  
       7.302685        239.7016  
       7.306713        239.8173  
       7.310670        238.8010  
       7.314741        238.9080  
       7.318680        238.9511  
       7.322732        238.4875  
       7.326652        238.6001  
       7.330685        238.8560  
       7.334586        239.0181  
       7.338539        239.2117  
       7.342483        239.2450  
       7.346478        239.2397  
       7.350402        239.3525  
       7.354317        239.4650  
       7.358163        239.2354  
       7.362059        239.3474  
       7.365946        239.3390  
       7.369823        239.2404  
       7.373691        239.3515  
       7.377550        238.9824  
       7.381457        239.0947  
       7.385238        239.0933  
       7.389126        239.0950  
       7.392888        238.7531  
       7.396757        238.6142  
       7.400558        238.5534  
       7.404350        238.4624  
       7.408074        238.5694  
       7.411905        238.5094  
       7.415610        238.6159  
       7.419422        239.0854  
       7.423108        239.1913  
       7.426900        238.5502  
       7.430567        237.4756  
       7.434283        237.5823  
       7.437989        236.9188  
       7.441742        236.8866  
       7.445428        235.9425  
       7.449105        235.8482  
       7.452716        235.4219  
       7.456374        235.4670  
       7.460023        234.4518  
       7.463662        234.1763  
       7.467290        233.3006  
       7.470910        233.4046  
       7.474576        233.4699  
       8.122           233.34
